"WISC";"CUB";"PUZ";"CAL";"MEM";"COM";"VOC"
"I1";"5.000";"5.000";"4.000";"0.000";"1.000";"1.000"
"I2";"4.000";"3.000";"3.000";"2.000";"2.000";"1.000"
"I3";"2.000";"1.000";"2.000";"3.000";"2.000";"2.000"
"I4";"5.000";"3.000";"5.000";"3.000";"4.000";"3.000"
"I5";"4.000";"4.000";"3.000";"2.000";"3.000";"2.000"
"I6";"2.000";"0.000";"1.000";"3.000";"1.000";"1.000"
"I7";"3.000";"3.000";"4.000";"2.000";"4.000";"4.000"
"I8";"1.000";"2.000";"1.000";"4.000";"3.000";"3.000"
"I9";"0.000";"1.000";"0.000";"3.000";"1.000";"0.000"
"I10";"2.000";"0.000";"1.000";"3.000";"1.000";"0.000"
"I11";"1.000";"2.000";"1.000";"1.000";"0.000";"1.000"
"I12";"4.000";"2.000";"4.000";"2.000";"1.000";"2.000"
"I13";"3.000";"2.000";"3.000";"3.000";"2.000";"3.000"
"I14";"1.000";"0.000";"0.000";"3.000";"2.000";"2.000"
"I15";"2.000";"1.000";"1.000";"2.000";"3.000";"2.000"
